web_scraper_order,web_scraper_start_url,nomor_sertifikat,tanggal_terbit,plg_id,nama_pemohon,nama_perangkat,merk,model,nama_pemasaran,negara
1782485407-22,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,18162/I/SDPPI/2014,11 Feb 2014,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Repeater Two Way Radio,Motorola,"MOTOTRBO XiR R8200, Freq. 350 - 400 MHz",,Malaysia
1782485407-23,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,17646/I/SDPPI/2014,16 Jan 2014,1798,"CAKRAWALA MULTI KOMUNIKASI PUSAT JAKARTA, PT.",TWO WAY RADIO,Vertex Standard,VX-1700-AO-125 FREQ.  3.0 - 30MHz,,Japan
1782485407-24,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,17599/I/SDPPI/2014,13 Jan 2014,1798,"CAKRAWALA MULTI KOMUNIKASI PUSAT JAKARTA, PT.",Two Way Radio,Firstcom II,FC-02G Frekuensi 134-176 MHz,,China
1782485407-25,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,17462/I/SDPPI/2013,30 Des 2013,2276,"GAJAH MANDALA JAYA, PT.",Two Way Radio,TAIT,TP8140 IS (806-870 MHz),,New Zealand
1782485407-26,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,17461/I/SDPPI/2013,30 Des 2013,2276,"GAJAH MANDALA JAYA, PT.",Two Way Radio,TAIT,TM8255 (762-870 MHz),,New Zealand
1782485407-27,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,17460/I/SDPPI/2013,30 Des 2013,2276,"GAJAH MANDALA JAYA, PT.",Two Way Radio,TAIT,TP8140 IS (350-400 MHz),,New Zealand
1782485407-28,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,32515/SDPPI/2013,16 Des 2013,4079,INTI BUANA EKSPORINDO PT,Portable Two Way Radio,CLARIGO,Clarigo 468  (UHF: 330-400 MHz),,China
1782485407-29,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,32516/SDPPI/2013,16 Des 2013,4079,INTI BUANA EKSPORINDO PT,Portable Two Way Radio,CLARIGO,Clarigo 468  (VHF: 136-174 MHz),,China
1782485407-30,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,32514/SDPPI/2013,16 Des 2013,4079,INTI BUANA EKSPORINDO PT,Portable Two Way Radio,CLARIGO,Clarigo 468  (UHF:400-438 MHz),,China
1782485407-31,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,32513/SDPPI/2013,16 Des 2013,4079,INTI BUANA EKSPORINDO PT,Mobile Two Way Radio,CLARIGO,Clarigo L 90  (UHF:400-438 MHz),,China
1782485407-32,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,32461/SDPPI/2013,12 Des 2013,2381,"ATLANTIK, CV.",Two Way Radio,TYT,TH-6200,,China
1782485407-33,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,32291/SDPPI/2013,05 Des 2013,4249,"VEKTOR INFOTEK, PT.",Two Way Radio,Motorola,GM 3688 Frek. 350-380 Mhz,,Malaysia
1782485407-34,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,12777/I/SDPPI/2013,28 Okt 2013,2276,"GAJAH MANDALA JAYA, PT.",Two Way Radio,TAIT,TB7100 (350-400 MHz),,New Zealand
1782485407-35,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,12775/I/SDPPI/2013,28 Okt 2013,2276,"GAJAH MANDALA JAYA, PT.",Two Way Radio,TAIT,TM8255 (350-400 MHz),,New Zealand
1782485407-36,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,17190/I/SDPPI/2013,28 Okt 2013,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Two Way Radio,Motorola,"XiR P8260, 350-400Mhz",,Malaysia
1782485407-37,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,17188/I/SDPPI/2013,28 Okt 2013,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Two Way Radio,Motorola,"XiR P8200, 350-400Mhz",,Malaysia
1782485407-38,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,17187/I/SDPPI/2013,28 Okt 2013,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Two Way Radio,Motorola,"XiR P8208, 350-400Mhz",,Malaysia
1782485407-39,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,17189/I/SDPPI/2013,28 Okt 2013,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Two Way Radio,Motorola,"XiR P8268, 350-400Mhz",,Malaysia
1782485407-40,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,31525/SDPPI/2013,24 Okt 2013,1798,"CAKRAWALA MULTI KOMUNIKASI PUSAT JAKARTA, PT.",Portable Two Way Radio,Vertex Standard,VZ-88-D0-5  (VHF : 136-174 MHz),,China
1782485407-41,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,31521/SDPPI/2013,24 Okt 2013,4079,INTI BUANA EKSPORINDO PT,Mobile Two Way Radio,CLARIGO,L 90 (UHF : 340-399.995 MHz),,China
1782485407-42,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,16439/I/SDPPI/2013,04 Okt 2013,1739,"WAHGO INTERNATIONAL, PT.",Two Way Radio,KENWOOD,Digital Mobile Radio 700/800MHz FM & P25 / TK-5910,,Japan
1782485407-43,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,31191/SDPPI/2013,03 Okt 2013,1798,"CAKRAWALA MULTI KOMUNIKASI PUSAT JAKARTA, PT.",Portable Two Way Radio,Vertex Standard,VZ-88-G6-4 (UHF : 403-438 Mhz),,China
1782485407-44,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,16766/I/SDPPI/2013,01 Okt 2013,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Two Way Radio,Motorola,"GM3688, (403 - 438MHz)",,Malaysia
1782485407-45,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,16855/I/SDPPI/2013,01 Okt 2013,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Two Way Radio,Motorola,"GM3188, 403 - 438 MHz 25W",,Malaysia
1782485407-46,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,16856/I/SDPPI/2013,01 Okt 2013,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Two Way Radio,Motorola,"GM3188, (403 - 438MHz) 40W",,Malaysia
1782485407-47,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,30690/SDPPI/2013,04 Sep 2013,4079,INTI BUANA EKSPORINDO PT,Portable Two Way Radio,SMP,SMP 458U01 (UHF400-438 MHz),,China
1782485407-48,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,30626/SDPPI/2013,30 Agu 2013,4079,INTI BUANA EKSPORINDO PT,Portable Two Way Radio,SMP,SMP 458U04 (UHF 330-400 Mhz),,China
1782485407-49,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,30625/SDPPI/2013,30 Agu 2013,4079,INTI BUANA EKSPORINDO PT,Portable Two Way Radio,SMP,SMP 468U04 (UHF330-400 MHz),,China
1782485407-50,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,30627/SDPPI/2013,30 Agu 2013,4079,INTI BUANA EKSPORINDO PT,Portable Two Way Radio,SMP,SMP 468U01 (UHF 400-438 Mhz),,China
1782485437-1,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,30604/SDPPI/2013,29 Agu 2013,4079,INTI BUANA EKSPORINDO PT,Portable Two Way Radio,SMP,SMP 458V01 (VHF 136-174 MHz),,China
1782485437-2,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,30606/SDPPI/2013,28 Agu 2013,4079,INTI BUANA EKSPORINDO PT,Mobile Two Way Radio,CLARIGO,L 90 (VHF 136-174 MHz),,China
1782485437-3,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,30605/SDPPI/2013,28 Agu 2013,4079,INTI BUANA EKSPORINDO PT,Portable Two Way Radio,SMP,SMP 468V01 ( VHF 136-174MHz),,China
1782485437-4,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,30544/SDPPI/2013,26 Agu 2013,2484,"MEGAYASA TEKNOLOGI INDONESIA, PT.",TWO WAY RADIO,CODAN,NGT VR/2011,,Australia
1782485437-5,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,04951/II/SDPPI/2013,29 Jul 2013,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Two Way Radio,Motorola,Radio Portable/GP3188 Freq 146-174MHz,,Malaysia
1782485437-6,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,15706/I/SDPPI/2013,29 Jul 2013,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Two Way Radio,Motorola,CP1300 FREQ. 350-390 MHz,,China
1782485437-7,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,15707/I/SDPPI/2013,29 Jul 2013,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Two Way Radio,Motorola,CP1300 FREQ. 136-174MHz,,China
1782485437-8,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,14239/I/SDPPI/2013,17 Jul 2013,2484,"MEGAYASA TEKNOLOGI INDONESIA, PT.",Repeater Two Way Radio,Motorola,"CDR 500, Freq. 136-174 MHz & 350-400 MHz",,Malaysia
1782485437-9,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,14452/I/SDPPI/2013,08 Jul 2013,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Two Way Radio,Motorola,MTX960 Freq. 806-870 MHz,,Malaysia
1782485437-10,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,15392/I/SDPPI/2013,08 Jul 2013,1798,"CAKRAWALA MULTI KOMUNIKASI PUSAT JAKARTA, PT.",Two Way Radio,FIRSTCOM,Professional Portable Radio / FC-08 FREQ. 135-174MHz),,China
1782485437-11,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,15390/I/SDPPI/2013,28 Jun 2013,1798,"CAKRAWALA MULTI KOMUNIKASI PUSAT JAKARTA, PT.",Two Way Radio,Alinco,Dual Band Transceiver / DR-635 (VHF 144-147 MHz dan UHF 400 - 430 MHz),,Japan
1782485437-12,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,14728/I/SDPPI/2013,19 Jun 2013,1739,"WAHGO INTERNATIONAL, PT.",TWO WAY RADIO,BARRET,PRC-2090,,Australia
1782485437-13,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,14448/I/SDPPI/2013,22 Mei 2013,1818,"VERSAKOM INDONESIA, PT.",Two Way Radio,Yaesu,FT-2900R/E,,Japan
1782485437-14,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,14447/I/SDPPI/2013,22 Mei 2013,1818,"VERSAKOM INDONESIA, PT.",Two Way Radio,Yaesu,FT-7900R/E,,Japan
1782485437-15,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,14462/I/SDPPI/2013,14 Mei 2013,1889,"CITRADATA PURNAKHARISMA, PT.",Repeater Two Way Radio,Motorola,"CDR500, Freq. 300-400 MHz",,China
1782485437-16,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,14659/I/SDPPI/2013,30 Apr 2013,1798,"CAKRAWALA MULTI KOMUNIKASI PUSAT JAKARTA, PT.",Two Way Radio,Alinco,DR-135 Freq 136-174 MHz,,Japan
1782485437-17,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,04529/II/SDPPI/2013,23 Apr 2013,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Two Way Radio,Motorola,GM 3688 Frek. 350-380 Mhz,,Malaysia
