cosine_sim,levenshtein,jaccard,token_overlap,length_diff,brand_match,model_in_title,label
0.688244343,0.4473684210526315,0.17647058823529413,0.42857142857142855,0.5794392523364486,1,0,0
0.522232294,0.38095238095238093,0.10714285714285714,0.3,0.45081967213114754,0,0,0
0.519053996,0.2890173410404624,0.04,0.2,0.5819672131147541,0,0,0
0.510217071,0.2890173410404624,0.04,0.2,0.5819672131147541,0,0,0
0.506762028,0.33720930232558144,0.038461538461538464,0.16666666666666666,0.5901639344262295,0,0,0
0.504205287,0.33333333333333337,0.038461538461538464,0.16666666666666666,0.6229508196721312,0,0,0
0.670222223,0.4117647058823529,0.14285714285714285,0.3333333333333333,0.49557522123893805,1,0,0
0.670070529,0.41666666666666663,0.15789473684210525,0.42857142857142855,0.5132743362831859,1,0,0
0.669142604,0.4276729559748428,0.15789473684210525,0.42857142857142855,0.5929203539823009,1,0,0
0.668088019,0.44025157232704404,0.15789473684210525,0.42857142857142855,0.5929203539823009,1,0,0
0.665913463,0.4025157232704403,0.15789473684210525,0.42857142857142855,0.5929203539823009,1,0,0
0.675105214,0.41666666666666663,0.15789473684210525,0.42857142857142855,0.5132743362831859,1,0,0
0.672565579,0.44025157232704404,0.15789473684210525,0.42857142857142855,0.5929203539823009,1,0,0
0.67087698,0.4117647058823529,0.14285714285714285,0.3333333333333333,0.49557522123893805,1,0,0
0.670002818,0.4276729559748428,0.15789473684210525,0.42857142857142855,0.5929203539823009,1,0,0
0.665667474,0.430379746835443,0.15789473684210525,0.42857142857142855,0.6017699115044248,1,0,0
0.592770338,0.4057971014492754,0.0,0.0,0.4666666666666667,0,0,0
0.577454567,0.4057971014492754,0.0,0.0,0.4666666666666667,0,0,0
0.522590876,0.3943661971830986,0.0,0.0,0.48936170212765956,0,0,0
0.516932011,0.4057971014492754,0.0,0.0,0.4666666666666667,0,0,0
0.483212352,0.2222222222222222,0.0,0.0,0.6363636363636364,0,0,0
0.574109375,0.25,0.0,0.0,0.5882352941176471,0,0,0
0.573400021,0.2407407407407407,0.0,0.0,0.65,0,0,0
0.569467843,0.28915662650602414,0.0,0.0,0.4909090909090909,0,0,0
0.557994604,0.29729729729729726,0.0,0.0,0.391304347826087,0,0,0
0.557994485,0.29729729729729726,0.0,0.0,0.391304347826087,0,0,0
0.651134729,0.3855421686746988,0.09090909090909091,0.14285714285714285,0.37254901960784315,1,0,0
0.648390532,0.4,0.09090909090909091,0.14285714285714285,0.3333333333333333,1,0,0
0.63802731,0.4,0.09090909090909091,0.14285714285714285,0.3333333333333333,1,0,0
0.637183368,0.40506329113924056,0.1,0.16666666666666666,0.3191489361702128,1,0,0
0.635126233,0.3855421686746988,0.09090909090909091,0.14285714285714285,0.37254901960784315,1,0,0
0.659956932,0.2764227642276422,0.0,0.0,0.4625,0,0,0
0.644486248,0.2857142857142857,0.0,0.0,0.21818181818181817,0,0,0
0.630577862,0.2921348314606742,0.0,0.0,0.06521739130434782,0,0,0
0.628502488,0.25225225225225223,0.0,0.0,0.36764705882352944,0,0,0
0.619191408,0.3943661971830986,0.07692307692307693,0.2,0.3488372093023256,1,0,0
0.591679037,0.30188679245283023,0.07142857142857142,0.14285714285714285,0.463768115942029,0,0,0
0.574855685,0.30188679245283023,0.07142857142857142,0.14285714285714285,0.463768115942029,0,0,0
